x,y,z
0.0,0.0,0.0
-0.11702611477598894,-0.013018374043050363,-0.993043508814046
-0.21666576599254184,-0.05269811191463467,-1.9872756036027257
-0.33921687168952774,-0.08122237463456237,-2.9793278164064323
-1.3391563240532807,-0.07476734017863058,-2.970415794377123
-2.339095776417009,-0.08122237463460724,-2.97932781640918
-2.4584114442649208,0.0005005114732177518,-1.989840504063936
-1.5195926392010974,-0.29351450409744984,-1.8104682044256808
-1.8881184248879666,-0.31197350889230785,-0.8810339623053147
-2.102347053671994,-0.30784556644782846,0.09574086061985188
-2.4887461046205104,-0.2665720152670765,1.0171486245327763
-1.639651539432204,-0.46792495332410855,1.5055085468272684
-2.28266505485078,-0.41677307644504613,2.269653235011905
-2.655917331743804,-0.4403613014480116,3.1970831964835975
-2.9044248754945405,-0.4227245961612701,4.165552580266898
-3.2184585372199757,-0.45229732822944646,5.114503744880409
-3.542115685182054,-0.4710777855847788,6.060491770700281
-3.846385415860946,-0.49645515049219696,7.012739595766294
-4.179889113560382,-0.5202621844362958,7.955187742220829
-4.6234880202085105,-0.5305546918004441,8.851354062896151
-5.155220821114858,-0.5577400008633308,9.697829808214024
-5.484532635967743,-0.5474873813732085,10.641995372292639
-5.839999427404769,-0.5251714691438627,11.576417846469518
-6.171535474733053,-0.5293114707547403,12.519851315087523
-6.618377321199128,-0.5382497975692877,13.41441963028796
-7.045533372312615,-0.5613501094807013,14.318302412282797
-7.391980801909103,-0.5895691193083645,15.255947262964725
-7.658396954001329,-0.5753081133778443,16.21969985446019
-8.036813525801188,-0.55126983135654,17.145023073224696
-7.26359416917836,-0.866754402555548,17.695115167222745
-7.728950408484834,-0.8932631760906361,18.57984159695354
-8.244711493490492,-0.939575339649761,19.43532139607229
-8.71774572073438,-0.9824655765131659,20.315320854843474
-9.201542733188953,-1.025057801579884,21.189464065709917
-9.697995931743751,-1.0555817952244106,22.056990726658558
-10.204520328425218,-1.0557950384581964,22.919216329441145
-10.72046441605805,-1.0933693403117868,23.77501412698268
-11.19643582135735,-1.142693713304816,24.653090619986706
-11.672820987282805,-1.1695490501014945,25.531917090099952
